model_id,source_node,source_type,target_node,target_type,condition
doc-10.1,sents,Activity,The MPON,Actor,
doc-10.1,sents,Activity,the dismissal,Activity Data,
doc-10.1,sents,Activity,the MPOO,Actor,
doc-10.1,sents,Activity,reviews,Activity,
doc-10.1,reviews,Activity,The MPOO,Actor,
doc-10.1,reviews,Activity,the dismissal,Activity Data,
doc-10.1,reviews,Activity,or,XOR Gateway,
doc-10.1,opposes,Activity,The MPOO,Actor,
doc-10.1,opposes,Activity,the dismissal,Activity Data,
doc-10.1,or,XOR Gateway,opposes,Activity,conditional
doc-10.1,or,XOR Gateway,confirmes,Activity,conditional
doc-10.1,confirmes,Activity,the MPOO,Actor,
doc-10.1,confirmes,Activity,the dismissal,Activity Data,
doc-10.12,tells,Activity,The EC,Actor,
doc-10.12,tells,Activity,the INQ,Actor,
doc-10.12,tells,Activity,about the change of his master data,Activity Data,
doc-10.12,tells,Activity,notifies,Activity,
doc-10.12,notifies,Activity,The INQ,Actor,
doc-10.12,notifies,Activity,the IP,Actor,
doc-10.12,notifies,Activity,the change,Activity Data,
doc-10.12,notifies,Activity,checks,Activity,
doc-10.12,checks,Activity,The IP,Actor,
doc-10.12,checks,Activity,whether the master data can be changed at the desired time,Further Specification,
doc-10.12,checks,Activity,or,XOR Gateway,
doc-10.12,confirmes,Activity,The IP,Actor,
doc-10.12,confirmes,Activity,the changes of the INQ,Activity Data,
doc-10.12,or,XOR Gateway,confirmes,Activity,conditional
doc-10.12,or,XOR Gateway,rejectes,Activity,conditional
doc-10.12,rejectes,Activity,the IP,Actor,
doc-10.12,rejectes,Activity,the changes of the INQ,Activity Data,
doc-1.2,brings in,Activity,A customer,Actor,
doc-1.2,brings in,Activity,checks,Activity,
doc-1.2,checks,Activity,the CRS,Actor,
doc-1.2,checks,Activity,the defect,Activity Data,
doc-1.2,checks,Activity,hands out,Activity,
doc-1.2,hands out,Activity,the CRS,Actor,
doc-1.2,hands out,Activity,a repair cost calculation,Activity Data,
doc-1.2,hands out,Activity,If,XOR Gateway,
doc-1.2,If,XOR Gateway,the customer decides that the costs are acceptable,Condition Specification,conditional
doc-1.2,If,XOR Gateway,otherwise,XOR Gateway,
doc-1.2,the customer decides that the costs are acceptable,Condition Specification,whereas,AND Gateway,
doc-1.2,otherwise,XOR Gateway,takes,Activity,conditional
doc-1.2,takes,Activity,she,Actor,
doc-1.2,takes,Activity,her computer,Activity Data,
doc-1.2,takes,Activity,home unrepaired,Further Specification,
doc-1.2,check,Activity,the CRS,Actor,
doc-1.2,check,Activity,repair,Activity,
doc-1.2,check,Activity,the hardware,Activity Data,
doc-1.2,repair,Activity,the CRS,Actor,
doc-1.2,repair,Activity,the hardware,Activity Data,
doc-1.2,repair,Activity,tested,Activity,
doc-1.2,whereas,AND Gateway,check,Activity,conditional
doc-1.2,whereas,AND Gateway,checks,Activity,conditional
doc-1.2,checks,Activity,the CRS,Actor,
doc-1.2,checks,Activity,configures,Activity,
doc-1.2,checks,Activity,the software,Activity Data,
doc-1.2,configures,Activity,the CRS,Actor,
doc-1.2,configures,Activity,the software,Activity Data,
doc-1.2,configures,Activity,tested,Activity,
doc-1.2,tested,Activity,the CRS,Actor,
doc-1.2,tested,Activity,the proper system functionality,Activity Data,
doc-1.2,tested,Activity,If,XOR Gateway,
doc-1.2,If,XOR Gateway,an error is detected,Condition Specification,conditional
doc-1.2,If,XOR Gateway,otherwise,XOR Gateway,
doc-1.2,an error is detected,Condition Specification,executed,Activity,
doc-1.2,executed,Activity,the CRS,Actor,
doc-1.2,executed,Activity,another arbitrary repair activity,Activity Data,
doc-10.2,reports,Activity,The MPON,Actor,
doc-10.2,reports,Activity,the meter operation,Activity Data,
doc-10.2,reports,Activity,the GO,Actor,
doc-10.2,reports,Activity,examines,Activity,
doc-10.2,examines,Activity,The GO,Actor,
doc-10.2,examines,Activity,the application,Activity Data,
doc-10.2,examines,Activity,the MPON,Actor,
doc-10.2,examines,Activity,or,XOR Gateway,
doc-10.2,rejects,Activity,The GO,Actor,
doc-10.2,rejects,Activity,the application of the MPON,Activity Data,
doc-10.2,or,XOR Gateway,rejects,Activity,conditional
doc-10.2,or,XOR Gateway,confirmes,Activity,conditional
doc-10.2,confirmes,Activity,the GO,Actor,
doc-10.2,confirmes,Activity,the application of the MPON,Activity Data,
doc-10.2,confirmes,Activity,informs,Activity,
doc-10.2,informs,Activity,The GO,Actor,
doc-10.2,informs,Activity,the MPOO,Actor,
doc-10.2,informs,Activity,about the registration confirmation of the MPON,Activity Data,
doc-10.2,informs,Activity,informs,Activity,
doc-10.2,informs,Activity,The GO,Actor,
doc-10.2,informs,Activity,the MSPO,Actor,
doc-10.2,informs,Activity,about the registration confirmation of the MPON,Activity Data,
doc-10.2,informs,Activity,perform,Activity,
doc-10.2,perform,Activity,The MPON,Actor,
doc-10.2,perform,Activity,the MPOO,Actor,
doc-10.2,perform,Activity,the equipment acquisition and / or equipment changes,Activity Data,
doc-10.2,perform,Activity,or,XOR Gateway,
doc-10.2,informs,Activity,The MPON,Actor,
doc-10.2,informs,Activity,the GO,Actor,
doc-10.2,informs,Activity,about the failure of the entire process,Activity Data,
doc-10.2,or,XOR Gateway,informs,Activity,conditional
doc-10.2,or,XOR Gateway,informs,Activity,conditional
doc-10.2,informs,Activity,the MPON,Actor,
doc-10.2,informs,Activity,the GO,Actor,
doc-10.2,informs,Activity,about the successful completion of the entire process,Activity Data,
doc-10.2,informs,Activity,if,XOR Gateway,
doc-10.2,informs,Activity,The GO,Actor,
doc-10.2,informs,Activity,the MPON,Actor,
doc-10.2,informs,Activity,about the failure of the overall transaction by deadline,Activity Data,
doc-10.2,if,XOR Gateway,after a maximum time limit no message of the MPON is present at the GO,Condition Specification,conditional
doc-10.2,if,XOR Gateway,If,XOR Gateway,
doc-10.2,after a maximum time limit no message of the MPON is present at the GO,Condition Specification,informs,Activity,
doc-10.2,If,XOR Gateway,the MPON informs the GO about the failure of the entire process,Condition Specification,conditional
doc-10.2,If,XOR Gateway,If,XOR Gateway,
doc-10.2,the MPON informs the GO about the failure of the entire process,Condition Specification,confirms,Activity,
doc-10.2,confirms,Activity,the GO,Actor,
doc-10.2,confirms,Activity,the failure of the assignment,Activity Data,
doc-10.2,confirms,Activity,the MPON,Actor,
